query,score,trend_velocity,search_volume,product_viability,specificity,trend_classification,trend_value,trend_type,source_keyword,category,scraped_at
iphone 17e case,0.7335,0.961,63.23,0.5499999999999999,0.8,stable,6400,rising,phone case,electronics,2026-03-26 03:00
s26 phone case,0.7335,0.961,63.23,0.5499999999999999,0.8,stable,1400,rising,phone case,electronics,2026-03-26 03:00
iphone 17 case,0.7335,0.961,63.23,0.5499999999999999,0.8,stable,29,top,phone case,electronics,2026-03-26 03:00
ring camera,0.7307,1.214,58.35,0.3,0.5,emerging,56,top,ring light,electronics,2026-03-26 03:00
miko air purifier,0.721,1.14,53.59,0.3,0.8,stable,160,rising,air purifier,home,2026-03-26 03:02
ikea air purifier,0.721,1.14,53.59,0.3,0.8,stable,120,rising,air purifier,home,2026-03-26 03:02
portable air purifier,0.721,1.14,53.59,0.3,0.8,stable,110,rising,air purifier,home,2026-03-26 03:02
best air purifier,0.721,1.14,53.59,0.3,0.8,stable,100,top,air purifier,home,2026-03-26 03:02
hepa air purifier,0.721,1.14,53.59,0.3,0.8,stable,67,top,air purifier,home,2026-03-26 03:02
levoit air purifier,0.721,1.14,53.59,0.3,0.8,stable,65,top,air purifier,home,2026-03-26 03:02
nulaxy phone stand,0.7176,1.065,52.6,0.44999999999999996,0.8,stable,29050,rising,phone stand,electronics,2026-03-26 03:00
godonut phone stand,0.7176,1.065,52.6,0.44999999999999996,0.8,stable,2300,rising,phone stand,electronics,2026-03-26 03:00
magsafe phone stand,0.7176,1.065,52.6,0.44999999999999996,0.8,stable,70,rising,phone stand,electronics,2026-03-26 03:00
stand for phone,0.7176,1.065,52.6,0.44999999999999996,0.8,stable,100,top,phone stand,electronics,2026-03-26 03:00
cell phone stand,0.7176,1.065,52.6,0.44999999999999996,0.8,stable,14,top,phone stand,electronics,2026-03-26 03:00
air filter,0.7135,1.14,53.59,0.44999999999999996,0.5,stable,88,top,air purifier,home,2026-03-26 03:02
jbl speaker bluetooth,0.7112,1.128,49.49,0.35,0.8,stable,99,top,bluetooth speaker,electronics,2026-03-26 03:00
best bluetooth speaker,0.7112,1.128,49.49,0.35,0.8,stable,86,top,bluetooth speaker,electronics,2026-03-26 03:00
wireless bluetooth speaker,0.7112,1.128,49.49,0.35,0.8,stable,84,top,bluetooth speaker,electronics,2026-03-26 03:00
"samsung galaxy watch fe 40mm bluetooth and wifi smart watch, black",0.7108,1.045,45.71,0.45,1.0,stable,8900,rising,smart watch,electronics,2026-03-26 03:00
best phone case,0.7085,0.961,63.23,0.44999999999999996,0.8,stable,38,top,phone case,electronics,2026-03-26 03:00
tripod for phone,0.6801,1.065,52.6,0.3,0.8,stable,40,rising,phone stand,electronics,2026-03-26 03:00
coway airmega,0.676,1.14,53.59,0.3,0.5,stable,90,rising,air purifier,home,2026-03-26 03:02
best led strip lights,0.6739,0.919,61.58,0.3,1.0,stable,39,top,LED strip lights,electronics,2026-03-26 03:00
govee led strip lights,0.6739,0.919,61.58,0.3,1.0,stable,39,top,LED strip lights,electronics,2026-03-26 03:00
smart watch that measures blood pressure,0.6733,1.045,45.71,0.3,1.0,stable,9400,rising,smart watch,electronics,2026-03-26 03:00
citizen cz smart watch,0.6733,1.045,45.71,0.3,1.0,stable,450,rising,smart watch,electronics,2026-03-26 03:00
michael kors smart watch,0.6733,1.045,45.71,0.3,1.0,stable,400,rising,smart watch,electronics,2026-03-26 03:00
glory fit smart watch,0.6733,1.045,45.71,0.3,1.0,stable,110,rising,smart watch,electronics,2026-03-26 03:00
phone holder,0.6726,1.065,52.6,0.44999999999999996,0.5,stable,19,top,phone stand,electronics,2026-03-26 03:00
iphone stand,0.6726,1.065,52.6,0.44999999999999996,0.5,stable,17,top,phone stand,electronics,2026-03-26 03:00
solar powered portable charger,0.6703,1.032,33.95,0.49999999999999994,1.0,stable,80,rising,portable charger,electronics,2026-03-26 03:00
iphone case,0.6635,0.961,63.23,0.44999999999999996,0.5,stable,97,top,phone case,electronics,2026-03-26 03:00
can you bring portable charger on plane,0.6578,1.032,33.95,0.44999999999999996,1.0,stable,200,rising,portable charger,electronics,2026-03-26 03:00
can you bring a portable charger on a plane,0.6578,1.032,33.95,0.44999999999999996,1.0,stable,180,rising,portable charger,electronics,2026-03-26 03:00
can i take a portable charger on a plane,0.6578,1.032,33.95,0.44999999999999996,1.0,stable,100,rising,portable charger,electronics,2026-03-26 03:00
oura ring portable charger,0.6578,1.032,33.95,0.44999999999999996,1.0,stable,90,rising,portable charger,electronics,2026-03-26 03:00
can you take a portable charger on a plane,0.6578,1.032,33.95,0.44999999999999996,1.0,stable,90,rising,portable charger,electronics,2026-03-26 03:00
jbl speaker,0.6537,1.128,49.49,0.3,0.5,stable,99,top,bluetooth speaker,electronics,2026-03-26 03:00
iphone 17e,0.651,0.961,63.23,0.4,0.5,stable,50550,rising,phone case,electronics,2026-03-26 03:00
led light strip,0.6439,0.919,61.58,0.3,0.8,stable,100,top,LED strip lights,electronics,2026-03-26 03:00
women's smart watch,0.6433,1.045,45.71,0.3,0.8,stable,350,rising,smart watch,electronics,2026-03-26 03:00
casio smart watch,0.6433,1.045,45.71,0.3,0.8,stable,160,rising,smart watch,electronics,2026-03-26 03:00
fossil smart watch,0.6433,1.045,45.71,0.3,0.8,stable,90,rising,smart watch,electronics,2026-03-26 03:00
apple smart watch,0.6433,1.045,45.71,0.3,0.8,stable,99,top,smart watch,electronics,2026-03-26 03:00
best smart watch,0.6433,1.045,45.71,0.3,0.8,stable,92,top,smart watch,electronics,2026-03-26 03:00
smart watch samsung,0.6433,1.045,45.71,0.3,0.8,stable,73,top,smart watch,electronics,2026-03-26 03:00
levoit,0.631,1.14,53.59,0.3,0.2,stable,66,top,air purifier,home,2026-03-26 03:02
rorry portable charger,0.6278,1.032,33.95,0.44999999999999996,0.8,stable,80,rising,portable charger,electronics,2026-03-26 03:00
tsa portable charger,0.6278,1.032,33.95,0.44999999999999996,0.8,stable,70,rising,portable charger,electronics,2026-03-26 03:00
portable battery charger,0.6278,1.032,33.95,0.44999999999999996,0.8,stable,100,top,portable charger,electronics,2026-03-26 03:00
iphone portable charger,0.6278,1.032,33.95,0.44999999999999996,0.8,stable,73,top,portable charger,electronics,2026-03-26 03:00
best portable charger,0.6278,1.032,33.95,0.44999999999999996,0.8,stable,73,top,portable charger,electronics,2026-03-26 03:00
phone charger portable,0.6278,1.032,33.95,0.44999999999999996,0.8,stable,62,top,portable charger,electronics,2026-03-26 03:00
lost trail pass webcam,0.6175,0.893,50.58,0.3,1.0,stable,450,rising,webcam,electronics,2026-03-26 03:00
opal c1 webcam,0.6125,0.893,50.58,0.4,0.8,stable,500,rising,webcam,electronics,2026-03-26 03:00
jbl,0.6087,1.128,49.49,0.3,0.2,stable,100,top,bluetooth speaker,electronics,2026-03-26 03:00
anker power bank 20000mah,0.6075,0.925,37.69,0.4,1.0,stable,90,rising,power bank,electronics,2026-03-26 03:02
govee lights,0.5989,0.919,61.58,0.3,0.5,stable,39,top,LED strip lights,electronics,2026-03-26 03:00
apple watch,0.5983,1.045,45.71,0.3,0.5,stable,100,top,smart watch,electronics,2026-03-26 03:00
samsung watch,0.5983,1.045,45.71,0.3,0.5,stable,73,top,smart watch,electronics,2026-03-26 03:00
solar powered power bank,0.595,0.925,37.69,0.35,1.0,stable,120,rising,power bank,electronics,2026-03-26 03:02
power bank charger,0.59,0.925,37.69,0.44999999999999996,0.8,stable,37,top,power bank,electronics,2026-03-26 03:02
three lakes webcam,0.5875,0.893,50.58,0.3,0.8,stable,8400,rising,webcam,electronics,2026-03-26 03:00
grand wailea webcam,0.5875,0.893,50.58,0.3,0.8,stable,500,rising,webcam,electronics,2026-03-26 03:00
snoqualmie pass webcam,0.5875,0.893,50.58,0.3,0.8,stable,190,rising,webcam,electronics,2026-03-26 03:00
goal zero power bank,0.5825,0.925,37.69,0.3,1.0,stable,120,rising,power bank,electronics,2026-03-26 03:02
anker nano power bank,0.5825,0.925,37.69,0.3,1.0,stable,120,rising,power bank,electronics,2026-03-26 03:02
blavor solar power bank,0.5825,0.925,37.69,0.3,1.0,stable,80,rising,power bank,electronics,2026-03-26 03:02
iphone,0.581,0.961,63.23,0.3,0.2,stable,100,top,phone case,electronics,2026-03-26 03:00
govee,0.5539,0.919,61.58,0.3,0.2,stable,39,top,LED strip lights,electronics,2026-03-26 03:00
walmart near me,0.5525,0.925,37.69,0.3,0.8,stable,160,rising,power bank,electronics,2026-03-26 03:02
magsafe power bank,0.5525,0.925,37.69,0.3,0.8,stable,90,rising,power bank,electronics,2026-03-26 03:02
iniu power bank,0.5525,0.925,37.69,0.3,0.8,stable,80,rising,power bank,electronics,2026-03-26 03:02
best power bank,0.5525,0.925,37.69,0.3,0.8,stable,100,top,power bank,electronics,2026-03-26 03:02
anker power bank,0.5525,0.925,37.69,0.3,0.8,stable,65,top,power bank,electronics,2026-03-26 03:02
portable power bank,0.5525,0.925,37.69,0.3,0.8,stable,39,top,power bank,electronics,2026-03-26 03:02
power bank,0.5453,1.032,33.95,0.3,0.5,stable,61,top,portable charger,electronics,2026-03-26 03:00
kaanapali webcam,0.5425,0.893,50.58,0.3,0.5,stable,250,rising,webcam,electronics,2026-03-26 03:00
maui webcam,0.5425,0.893,50.58,0.3,0.5,stable,250,rising,webcam,electronics,2026-03-26 03:00
waikiki webcam,0.5425,0.893,50.58,0.3,0.5,stable,250,rising,webcam,electronics,2026-03-26 03:00
best webcam,0.5425,0.893,50.58,0.3,0.5,stable,100,top,webcam,electronics,2026-03-26 03:00
logitech webcam,0.5425,0.893,50.58,0.3,0.5,stable,66,top,webcam,electronics,2026-03-26 03:00
webcam test,0.5425,0.893,50.58,0.3,0.5,stable,40,top,webcam,electronics,2026-03-26 03:00
webcam toy,0.5425,0.893,50.58,0.3,0.5,stable,36,top,webcam,electronics,2026-03-26 03:00
camera,0.4975,0.893,50.58,0.3,0.2,stable,92,top,webcam,electronics,2026-03-26 03:00
jbl tour pro 3 noise cancelling true wireless earbuds,0.4941,0.808,13.99,0.5499999999999999,1.0,seasonal,1500,rising,wireless earbuds,electronics,2026-03-26 03:00
jlab jbuds pro wireless earbuds,0.4691,0.808,13.99,0.44999999999999996,1.0,seasonal,21650,rising,wireless earbuds,electronics,2026-03-26 03:00
anker,0.4625,0.925,37.69,0.3,0.2,stable,66,top,power bank,electronics,2026-03-26 03:02
best wireless earbuds 2026,0.4566,0.808,13.99,0.4,1.0,seasonal,47,top,wireless earbuds,electronics,2026-03-26 03:00
homedics totalcomfort deluxe warm & cool mist ultrasonic humidifier,0.446,0.95,0,0.3,1.0,stable,8550,rising,humidifier,home,2026-03-26 03:02
godzilla humidifier for plants,0.446,0.95,0,0.3,1.0,stable,750,rising,humidifier,home,2026-03-26 03:02
levoit oasismist smart humidifier,0.446,0.95,0,0.3,1.0,stable,450,rising,humidifier,home,2026-03-26 03:02
pure enrichment mistaire ultrasonic cool mist humidifier,0.446,0.95,0,0.3,1.0,stable,350,rising,humidifier,home,2026-03-26 03:02
does humidifier help with allergies,0.446,0.95,0,0.3,1.0,stable,160,rising,humidifier,home,2026-03-26 03:02
jlab go air pop true wireless earbuds,0.4316,0.808,13.99,0.3,1.0,seasonal,1400,rising,wireless earbuds,electronics,2026-03-26 03:00
jbl vibe buds true wireless earbuds,0.4316,0.808,13.99,0.3,1.0,seasonal,1350,rising,wireless earbuds,electronics,2026-03-26 03:00
wireless noise cancelling earbuds,0.4316,0.808,13.99,0.3,1.0,seasonal,450,rising,wireless earbuds,electronics,2026-03-26 03:00
best earbuds 2026,0.4266,0.808,13.99,0.4,0.8,seasonal,48,top,wireless earbuds,electronics,2026-03-26 03:00
godzilla plant humidifier,0.416,0.95,0,0.3,0.8,stable,350,rising,humidifier,home,2026-03-26 03:02
dreo smart humidifier,0.416,0.95,0,0.3,0.8,stable,120,rising,humidifier,home,2026-03-26 03:02
cool mist humidifier,0.416,0.95,0,0.3,0.8,stable,77,top,humidifier,home,2026-03-26 03:02
jlab wireless earbuds,0.4016,0.808,13.99,0.3,0.8,seasonal,500,rising,wireless earbuds,electronics,2026-03-26 03:00
bose quietcomfort earbuds,0.4016,0.808,13.99,0.3,0.8,seasonal,450,rising,wireless earbuds,electronics,2026-03-26 03:00
best wireless earbuds,0.4016,0.808,13.99,0.3,0.8,seasonal,100,top,wireless earbuds,electronics,2026-03-26 03:00
true wireless earbuds,0.4016,0.808,13.99,0.3,0.8,seasonal,46,top,wireless earbuds,electronics,2026-03-26 03:00
godzilla humidifier,0.371,0.95,0,0.3,0.5,stable,250,rising,humidifier,home,2026-03-26 03:02
air humidifier,0.371,0.95,0,0.3,0.5,stable,100,top,humidifier,home,2026-03-26 03:02
best humidifier,0.371,0.95,0,0.3,0.5,stable,87,top,humidifier,home,2026-03-26 03:02
ultrasonic humidifier,0.371,0.95,0,0.3,0.5,stable,54,top,humidifier,home,2026-03-26 03:02
vicks humidifier,0.371,0.95,0,0.3,0.5,stable,53,top,humidifier,home,2026-03-26 03:02
jlab earbuds,0.3566,0.808,13.99,0.3,0.5,seasonal,500,rising,wireless earbuds,electronics,2026-03-26 03:00
best earbuds,0.3566,0.808,13.99,0.3,0.5,seasonal,99,top,wireless earbuds,electronics,2026-03-26 03:00
3d printed laptop stand,0.2875,0.5,0,0.5499999999999999,1.0,stable,31200,rising,laptop stand,electronics,2026-03-26 03:00
laptop stand for desk,0.2625,0.5,0,0.44999999999999996,1.0,stable,22,top,laptop stand,electronics,2026-03-26 03:00
gaming laptop stand,0.2325,0.5,0,0.44999999999999996,0.8,stable,100,rising,laptop stand,electronics,2026-03-26 03:00
apple laptop stand,0.2325,0.5,0,0.44999999999999996,0.8,stable,70,rising,laptop stand,electronics,2026-03-26 03:00
keyboard laptop stand,0.2325,0.5,0,0.44999999999999996,0.8,stable,50,rising,laptop stand,electronics,2026-03-26 03:00
dual laptop stand,0.2325,0.5,0,0.44999999999999996,0.8,stable,50,rising,laptop stand,electronics,2026-03-26 03:00
stand for laptop,0.2325,0.5,0,0.44999999999999996,0.8,stable,100,top,laptop stand,electronics,2026-03-26 03:00
laptop desk stand,0.2325,0.5,0,0.44999999999999996,0.8,stable,35,top,laptop stand,electronics,2026-03-26 03:00
best laptop stand,0.2325,0.5,0,0.44999999999999996,0.8,stable,30,top,laptop stand,electronics,2026-03-26 03:00
adjustable laptop stand,0.2325,0.5,0,0.44999999999999996,0.8,stable,27,top,laptop stand,electronics,2026-03-26 03:00
